,Season,SecondaryTourney,TeamID
0,1985,NIT,1108
1,1985,NIT,1133
2,1985,NIT,1139
3,1985,NIT,1145
4,1985,NIT,1151
5,1985,NIT,1153
6,1985,NIT,1155
7,1985,NIT,1196
8,1985,NIT,1200
9,1985,NIT,1201
10,1985,NIT,1222
11,1985,NIT,1231
12,1985,NIT,1245
13,1985,NIT,1249
14,1985,NIT,1257
15,1985,NIT,1266
16,1985,NIT,1281
17,1985,NIT,1285
18,1985,NIT,1304
19,1985,NIT,1307
20,1985,NIT,1350
21,1985,NIT,1365
22,1985,NIT,1378
23,1985,NIT,1386
24,1985,NIT,1397
25,1985,NIT,1399
26,1985,NIT,1401
27,1985,NIT,1417
28,1985,NIT,1418
29,1985,NIT,1438
30,1985,NIT,1448
31,1985,NIT,1452
32,1986,NIT,1131
33,1986,NIT,1140
34,1986,NIT,1143
35,1986,NIT,1151
36,1986,NIT,1155
37,1986,NIT,1173
38,1986,NIT,1179
39,1986,NIT,1196
40,1986,NIT,1206
41,1986,NIT,1208
42,1986,NIT,1249
43,1986,NIT,1256
44,1986,NIT,1258
45,1986,NIT,1266
46,1986,NIT,1270
47,1986,NIT,1283
48,1986,NIT,1285
49,1986,NIT,1292
50,1986,NIT,1307
51,1986,NIT,1319
52,1986,NIT,1325
53,1986,NIT,1326
54,1986,NIT,1338
55,1986,NIT,1344
56,1986,NIT,1374
57,1986,NIT,1379
58,1986,NIT,1395
59,1986,NIT,1400
60,1986,NIT,1401
61,1986,NIT,1414
62,1986,NIT,1417
63,1986,NIT,1461
64,1987,NIT,1103
65,1987,NIT,1114
66,1987,NIT,1116
67,1987,NIT,1117
68,1987,NIT,1124
69,1987,NIT,1129
70,1987,NIT,1143
71,1987,NIT,1151
72,1987,NIT,1156
73,1987,NIT,1168
74,1987,NIT,1199
75,1987,NIT,1229
76,1987,NIT,1239
77,1987,NIT,1241
78,1987,NIT,1247
79,1987,NIT,1266
80,1987,NIT,1279
81,1987,NIT,1286
82,1987,NIT,1304
83,1987,NIT,1307
84,1987,NIT,1310
85,1987,NIT,1333
86,1987,NIT,1348
87,1987,NIT,1371
88,1987,NIT,1372
89,1987,NIT,1379
90,1987,NIT,1387
91,1987,NIT,1389
92,1987,NIT,1428
93,1987,NIT,1435
94,1987,NIT,1437
95,1987,NIT,1449
96,1988,NIT,1114
97,1988,NIT,1117
98,1988,NIT,1130
99,1988,NIT,1155
100,1988,NIT,1156
101,1988,NIT,1161
102,1988,NIT,1163
103,1988,NIT,1191
104,1988,NIT,1200
105,1988,NIT,1204
106,1988,NIT,1208
107,1988,NIT,1222
108,1988,NIT,1229
109,1988,NIT,1253
110,1988,NIT,1256
111,1988,NIT,1267
112,1988,NIT,1292
113,1988,NIT,1307
114,1988,NIT,1309
115,1988,NIT,1326
116,1988,NIT,1330
117,1988,NIT,1332
118,1988,NIT,1337
119,1988,NIT,1365
120,1988,NIT,1373
121,1988,NIT,1379
122,1988,NIT,1390
123,1988,NIT,1397
124,1988,NIT,1419
125,1988,NIT,1428
126,1988,NIT,1433
127,1988,NIT,1452
128,1989,NIT,1103
129,1989,NIT,1117
130,1989,NIT,1129
131,1989,NIT,1143
132,1989,NIT,1150
133,1989,NIT,1163
134,1989,NIT,1204
135,1989,NIT,1218
136,1989,NIT,1245
137,1989,NIT,1277
138,1989,NIT,1279
139,1989,NIT,1293
140,1989,NIT,1304
141,1989,NIT,1307
142,1989,NIT,1308
143,1989,NIT,1309
144,1989,NIT,1326
145,1989,NIT,1329
146,1989,NIT,1336
147,1989,NIT,1337
148,1989,NIT,1350
149,1989,NIT,1356
150,1989,NIT,1364
151,1989,NIT,1365
152,1989,NIT,1385
153,1989,NIT,1387
154,1989,NIT,1389
155,1989,NIT,1396
156,1989,NIT,1412
157,1989,NIT,1437
158,1989,NIT,1455
159,1989,NIT,1458
160,1990,NIT,1113
161,1990,NIT,1124
162,1990,NIT,1132
163,1990,NIT,1153
164,1990,NIT,1166
165,1990,NIT,1177
166,1990,NIT,1200
167,1990,NIT,1218
168,1990,NIT,1221
169,1990,NIT,1241
170,1990,NIT,1245
171,1990,NIT,1253
172,1990,NIT,1256
173,1990,NIT,1266
174,1990,NIT,1268
175,1990,NIT,1269
176,1990,NIT,1272
177,1990,NIT,1280
178,1990,NIT,1307
179,1990,NIT,1309
180,1990,NIT,1329
181,1990,NIT,1332
182,1990,NIT,1336
183,1990,NIT,1353
184,1990,NIT,1356
185,1990,NIT,1380
186,1990,NIT,1387
187,1990,NIT,1390
188,1990,NIT,1397
189,1990,NIT,1409
190,1990,NIT,1435
191,1990,NIT,1453
192,1991,NIT,1117
193,1991,NIT,1123
194,1991,NIT,1129
195,1991,NIT,1132
196,1991,NIT,1139
197,1991,NIT,1153
198,1991,NIT,1160
199,1991,NIT,1164
200,1991,NIT,1192
201,1991,NIT,1200
202,1991,NIT,1202
203,1991,NIT,1203
204,1991,NIT,1222
205,1991,NIT,1241
206,1991,NIT,1247
207,1991,NIT,1269
208,1991,NIT,1272
209,1991,NIT,1276
210,1991,NIT,1283
211,1991,NIT,1328
212,1991,NIT,1344
213,1991,NIT,1349
214,1991,NIT,1356
215,1991,NIT,1373
216,1991,NIT,1376
217,1991,NIT,1378
218,1991,NIT,1390
219,1991,NIT,1409
220,1991,NIT,1412
221,1991,NIT,1452
222,1991,NIT,1458
223,1991,NIT,1461
224,1992,NIT,1113
225,1992,NIT,1123
226,1992,NIT,1130
227,1992,NIT,1139
228,1992,NIT,1196
229,1992,NIT,1241
230,1992,NIT,1243
231,1992,NIT,1253
232,1992,NIT,1256
233,1992,NIT,1264
234,1992,NIT,1278
235,1992,NIT,1307
236,1992,NIT,1323
237,1992,NIT,1336
238,1992,NIT,1338
239,1992,NIT,1345
240,1992,NIT,1348
241,1992,NIT,1350
242,1992,NIT,1353
243,1992,NIT,1356
244,1992,NIT,1364
245,1992,NIT,1395
246,1992,NIT,1397
247,1992,NIT,1412
248,1992,NIT,1428
249,1992,NIT,1435
250,1992,NIT,1437
251,1992,NIT,1438
252,1992,NIT,1443
253,1992,NIT,1444
254,1992,NIT,1450
255,1992,NIT,1453
256,1993,NIT,1104
