,Season,ConfAbbrev,DayNum,WTeamID,LTeamID
0,2001,a_sun,121,1194,1144
1,2001,a_sun,121,1416,1240
2,2001,a_sun,122,1209,1194
3,2001,a_sun,122,1359,1239
4,2001,a_sun,122,1391,1273
5,2001,a_sun,122,1407,1416
6,2001,a_sun,123,1209,1359
7,2001,a_sun,123,1407,1391
8,2001,a_sun,124,1209,1407
9,2001,a_ten,128,1173,1348
10,2001,a_ten,128,1203,1182
11,2001,a_ten,128,1247,1200
12,2001,a_ten,129,1203,1462
13,2001,a_ten,129,1269,1382
14,2001,a_ten,129,1386,1247
15,2001,a_ten,129,1396,1173
16,2001,a_ten,130,1269,1386
17,2001,a_ten,130,1396,1203
18,2001,a_ten,131,1396,1269
19,2001,acc,129,1155,1199
20,2001,acc,130,1181,1301
21,2001,acc,130,1210,1438
22,2001,acc,130,1268,1448
23,2001,acc,130,1314,1155
24,2001,acc,131,1181,1268
25,2001,acc,131,1314,1210
26,2001,acc,132,1181,1314
27,2001,aec,123,1406,1216
28,2001,aec,123,1436,1306
29,2001,aec,124,1174,1406
30,2001,aec,124,1220,1436
31,2001,aec,124,1263,1131
32,2001,aec,124,1318,1180
33,2001,aec,125,1174,1318
34,2001,aec,125,1220,1263
35,2001,aec,131,1220,1174
36,2001,big_east,128,1338,1274
37,2001,big_east,128,1371,1385
38,2001,big_east,128,1393,1163
39,2001,big_east,128,1437,1452
40,2001,big_east,129,1130,1437
41,2001,big_east,129,1338,1323
42,2001,big_east,129,1371,1207
43,2001,big_east,129,1393,1344
44,2001,big_east,130,1130,1371
45,2001,big_east,130,1338,1393
46,2001,big_east,131,1130,1338
47,2001,big_sky,129,1319,1286
48,2001,big_sky,129,1451,1226
49,2001,big_sky,130,1169,1451
50,2001,big_sky,130,1186,1319
51,2001,big_sky,131,1169,1186
52,2001,big_south,122,1149,1157
53,2001,big_south,122,1251,1421
54,2001,big_south,123,1347,1149
55,2001,big_south,123,1457,1251
56,2001,big_south,124,1457,1347
57,2001,big_ten,129,1234,1321
58,2001,big_ten,129,1336,1276
59,2001,big_ten,129,1345,1278
60,2001,big_ten,130,1228,1345
61,2001,big_ten,130,1231,1458
62,2001,big_ten,130,1234,1326
63,2001,big_ten,130,1336,1277
64,2001,big_ten,131,1231,1228
65,2001,big_ten,131,1234,1336
66,2001,big_ten,132,1234,1231
67,2001,big_twelve,129,1124,1160
68,2001,big_twelve,129,1243,1304
69,2001,big_twelve,129,1281,1401
70,2001,big_twelve,129,1329,1403
71,2001,big_twelve,130,1124,1235
72,2001,big_twelve,130,1242,1243
73,2001,big_twelve,130,1328,1281
74,2001,big_twelve,130,1400,1329
75,2001,big_twelve,131,1328,1242
76,2001,big_twelve,131,1400,1124
77,2001,big_twelve,132,1328,1400
78,2001,big_west,129,1129,1253
79,2001,big_west,129,1334,1364
80,2001,big_west,129,1414,1142
81,2001,big_west,129,1429,1168
82,2001,big_west,130,1334,1414
83,2001,big_west,130,1429,1129
84,2001,big_west,131,1429,1334
85,2001,caa,124,1241,1433
86,2001,caa,124,1330,1456
87,2001,caa,125,1206,1241
88,2001,caa,125,1423,1330
89,2001,caa,126,1206,1423
90,2001,cusa,128,1266,1408
91,2001,cusa,128,1378,1177
92,2001,cusa,128,1387,1222
93,2001,cusa,128,1412,1257
94,2001,cusa,129,1150,1378
95,2001,cusa,129,1153,1412
96,2001,cusa,129,1272,1266
97,2001,cusa,129,1379,1387
98,2001,cusa,130,1150,1379
99,2001,cusa,130,1153,1272
100,2001,cusa,131,1150,1153
101,2001,maac,123,1145,1389
102,2001,maac,123,1259,1193
103,2001,maac,124,1145,1310
104,2001,maac,124,1233,1259
105,2001,maac,124,1265,1351
106,2001,maac,124,1373,1264
107,2001,maac,125,1145,1373
108,2001,maac,125,1233,1265
109,2001,maac,126,1233,1145
110,2001,mac,126,1123,1296
111,2001,mac,126,1132,1444
112,2001,mac,126,1275,1103
113,2001,mac,126,1325,1138
114,2001,mac,126,1405,1185
115,2001,mac,129,1123,1267
116,2001,mac,129,1245,1132
117,2001,mac,129,1275,1141
118,2001,mac,129,1325,1405
119,2001,mac,130,1245,1123
120,2001,mac,130,1275,1325
121,2001,mac,131,1245,1275
122,2001,meac,126,1288,1271
123,2001,meac,126,1299,1197
124,2001,meac,127,1126,1224
125,2001,meac,128,1214,1288
126,2001,meac,128,1354,1126
127,2001,meac,129,1299,1175
128,2001,meac,129,1313,1164
129,2001,meac,130,1214,1313
130,2001,meac,130,1354,1299
131,2001,meac,131,1214,1354
132,2001,mid_cont,125,1237,1282
133,2001,mid_cont,125,1331,1464
134,2001,mid_cont,125,1381,1442
135,2001,mid_cont,125,1434,1152
136,2001,mid_cont,126,1381,1331
137,2001,mid_cont,126,1434,1237
138,2001,mid_cont,127,1381,1434
139,2001,mvc,123,1283,1455
140,2001,mvc,123,1320,1179
141,2001,mvc,124,1133,1320
142,2001,mvc,124,1166,1283
143,2001,mvc,124,1229,1191
144,2001,mvc,124,1232,1356
145,2001,mvc,125,1133,1229
146,2001,mvc,125,1232,1166
147,2001,mvc,126,1232,1133
148,2001,mw_coll,124,1139,1260
149,2001,mw_coll,124,1156,1227
150,2001,mw_coll,124,1178,1453
151,2001,mw_coll,124,1460,1454
152,2001,mw_coll,125,1139,1460
153,2001,mw_coll,125,1178,1156
154,2001,mw_coll,127,1139,1178
155,2001,mwc,129,1140,1102
156,2001,mwc,129,1307,1161
