,Season,SecondaryTourney,TeamID
1344,2016,CBI,1107
1345,2016,CBI,1182
1346,2016,CBI,1186
1347,2016,CBI,1223
1348,2016,CBI,1225
1349,2016,CBI,1285
1350,2016,CBI,1287
1351,2016,CBI,1303
1352,2016,CBI,1305
1353,2016,CBI,1325
1354,2016,CBI,1337
1355,2016,CBI,1370
1356,2016,CBI,1373
1357,2016,CBI,1422
1358,2016,CBI,1436
1359,2016,CBI,1441
1360,2016,CIT,1119
1361,2016,CIT,1123
1362,2016,CIT,1131
1363,2016,CIT,1141
1364,2016,CIT,1157
1365,2016,CIT,1162
1366,2016,CIT,1193
1367,2016,CIT,1200
1368,2016,CIT,1202
1369,2016,CIT,1213
1370,2016,CIT,1238
1371,2016,CIT,1273
1372,2016,CIT,1306
1373,2016,CIT,1312
1374,2016,CIT,1313
1375,2016,CIT,1315
1376,2016,CIT,1354
1377,2016,CIT,1358
1378,2016,CIT,1366
1379,2016,CIT,1394
1380,2016,CIT,1398
1381,2016,CIT,1404
1382,2016,CIT,1414
1383,2016,CIT,1418
1384,2016,CIT,1419
1385,2016,CIT,1426
1386,2016,NIT,1103
1387,2016,NIT,1104
1388,2016,NIT,1125
1389,2016,NIT,1137
1390,2016,NIT,1140
1391,2016,NIT,1166
1392,2016,NIT,1172
1393,2016,NIT,1196
1394,2016,NIT,1199
1395,2016,NIT,1203
1396,2016,NIT,1208
1397,2016,NIT,1210
1398,2016,NIT,1219
1399,2016,NIT,1220
1400,2016,NIT,1222
1401,2016,NIT,1236
1402,2016,NIT,1253
1403,2016,NIT,1284
1404,2016,NIT,1308
1405,2016,NIT,1316
1406,2016,NIT,1326
1407,2016,NIT,1343
1408,2016,NIT,1361
1409,2016,NIT,1376
1410,2016,NIT,1382
1411,2016,NIT,1388
1412,2016,NIT,1411
1413,2016,NIT,1412
1414,2016,NIT,1434
1415,2016,NIT,1439
1416,2016,NIT,1447
1417,2016,NIT,1449
1418,2016,V16,1190
1419,2016,V16,1256
1420,2016,V16,1296
1421,2016,V16,1324
1422,2016,V16,1330
1423,2016,V16,1364
1424,2016,V16,1399
1425,2016,V16,1406
