,Season,TeamID,ConfAbbrev
9835,2016,1101,southland
9836,2016,1102,mwc
9837,2016,1103,mac
9838,2016,1104,sec
9839,2016,1105,swac
9840,2016,1106,swac
9841,2016,1107,aec
9842,2016,1108,swac
9843,2016,1110,patriot
9844,2016,1111,sun_belt
9845,2016,1112,pac_twelve
9846,2016,1113,pac_twelve
9847,2016,1114,sun_belt
9848,2016,1115,swac
9849,2016,1116,sec
9850,2016,1117,sun_belt
9851,2016,1119,patriot
9852,2016,1120,sec
9853,2016,1122,ovc
9854,2016,1123,mac
9855,2016,1124,big_twelve
9856,2016,1125,ovc
9857,2016,1126,meac
9858,2016,1127,aec
9859,2016,1129,mwc
9860,2016,1130,acc
9861,2016,1131,patriot
9862,2016,1132,mac
9863,2016,1133,mvc
9864,2016,1135,ivy
9865,2016,1136,nec
9866,2016,1137,patriot
9867,2016,1138,mac
9868,2016,1139,big_east
9869,2016,1140,wcc
9870,2016,1141,mac
9871,2016,1142,big_west
9872,2016,1143,pac_twelve
9873,2016,1144,big_south
9874,2016,1145,maac
9875,2016,1146,southland
9876,2016,1148,nec
9877,2016,1149,big_south
9878,2016,1150,cusa
9879,2016,1151,southern
9880,2016,1152,wac
9881,2016,1153,aac
9882,2016,1154,southern
9883,2016,1155,acc
9884,2016,1156,horizon
9885,2016,1157,big_south
9886,2016,1158,caa
9887,2016,1159,patriot
9888,2016,1160,pac_twelve
9889,2016,1161,mwc
9890,2016,1162,ivy
9891,2016,1163,aac
9892,2016,1164,meac
9893,2016,1165,ivy
9894,2016,1166,big_east
9895,2016,1167,wac
9896,2016,1168,big_west
9897,2016,1169,big_west
9898,2016,1170,big_sky
9899,2016,1171,ivy
9900,2016,1172,a_ten
9901,2016,1173,a_ten
9902,2016,1174,caa
9903,2016,1175,meac
9904,2016,1176,summit
9905,2016,1177,big_east
9906,2016,1178,horizon
9907,2016,1179,mvc
9908,2016,1180,caa
9909,2016,1181,acc
9910,2016,1182,a_ten
9911,2016,1183,ovc
9912,2016,1184,ovc
9913,2016,1185,mac
9914,2016,1186,big_sky
9915,2016,1187,aac
9916,2016,1188,ovc
9917,2016,1189,caa
9918,2016,1190,southern
9919,2016,1191,mvc
9920,2016,1192,nec
9921,2016,1193,maac
9922,2016,1194,cusa
9923,2016,1195,a_sun
9924,2016,1196,sec
9925,2016,1197,meac
9926,2016,1198,cusa
9927,2016,1199,acc
9928,2016,1200,a_ten
9929,2016,1201,mwc
9930,2016,1202,southern
9931,2016,1203,a_ten
9932,2016,1204,sun_belt
9933,2016,1205,big_south
9934,2016,1206,a_ten
9935,2016,1207,big_east
9936,2016,1208,sec
9937,2016,1209,sun_belt
9938,2016,1210,acc
9939,2016,1211,wcc
9940,2016,1212,swac
9941,2016,1213,wac
9942,2016,1214,meac
9943,2016,1216,aec
9944,2016,1217,ivy
9945,2016,1218,big_west
9946,2016,1219,big_south
9947,2016,1220,caa
9948,2016,1221,patriot
9949,2016,1222,aac
9950,2016,1223,southland
9951,2016,1224,meac
9952,2016,1225,big_sky
9953,2016,1226,big_sky
9954,2016,1227,horizon
9955,2016,1228,big_ten
9956,2016,1229,mvc
9957,2016,1230,southland
9958,2016,1231,big_ten
9959,2016,1232,mvc
9960,2016,1233,maac
9961,2016,1234,big_ten
9962,2016,1235,big_twelve
9963,2016,1236,summit
9964,2016,1237,summit
9965,2016,1238,swac
9966,2016,1239,a_sun
9967,2016,1240,ovc
9968,2016,1241,caa
9969,2016,1242,big_twelve
9970,2016,1243,big_twelve
9971,2016,1244,a_sun
9972,2016,1245,mac
9973,2016,1246,sec
9974,2016,1247,a_ten
9975,2016,1248,patriot
9976,2016,1249,southland
9977,2016,1250,patriot
9978,2016,1251,big_south
9979,2016,1252,a_sun
9980,2016,1253,big_west
9981,2016,1254,nec
9982,2016,1255,big_south
9983,2016,1256,cusa
9984,2016,1257,acc
9985,2016,1258,wcc
9986,2016,1259,patriot
9987,2016,1260,mvc
9988,2016,1261,sec
9989,2016,1262,aec
9990,2016,1263,aec
9991,2016,1264,maac
9992,2016,1265,maac
9993,2016,1266,big_east
9994,2016,1267,cusa
9995,2016,1268,big_ten
9996,2016,1269,a_ten
9997,2016,1270,southland
9998,2016,1271,meac
9999,2016,1272,aac
10000,2016,1273,southern
10001,2016,1274,acc
10002,2016,1275,mac
10003,2016,1276,big_ten
10004,2016,1277,big_ten
10005,2016,1278,big_ten
10006,2016,1279,sec
10007,2016,1280,sec
10008,2016,1281,sec
10009,2016,1282,wac
10010,2016,1283,mvc
10011,2016,1284,maac
10012,2016,1285,big_sky
10013,2016,1286,big_sky
10014,2016,1287,ovc
10015,2016,1288,meac
10016,2016,1290,swac
10017,2016,1291,nec
10018,2016,1292,cusa
10019,2016,1293,ovc
10020,2016,1294,big_sky
10021,2016,1295,summit
10022,2016,1296,mac
10023,2016,1297,horizon
10024,2016,1298,patriot
10025,2016,1299,meac
10026,2016,1300,meac
10027,2016,1301,acc
10028,2016,1303,summit
10029,2016,1304,big_ten
10030,2016,1305,mwc
10031,2016,1306,aec
10032,2016,1307,mwc
10033,2016,1308,wac
10034,2016,1309,southland
10035,2016,1310,maac
10036,2016,1311,southland
10037,2016,1312,a_sun
10038,2016,1313,meac
